name,category_list,funding_total_usd,status,country_code,funding_rounds,dias_hasta_inversion
Ondine Biomedical Inc.,Biotechnology,762851.0,operating,CAN,2,4636.0
Redox,Health Care|Health Care Information Technology|Hospitals,4000000.0,operating,USA,2,145.0
10X Genomics,Biotechnology|Technology,55000000.0,operating,USA,1,1107.0
10X Technologies,Biotechnology,3550000.0,operating,USA,2,311.0
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,794000.0,operating,USA,6,122.0
1CommMedical,Health Care|Insurance|Medical,2500000.0,operating,USA,1,846.0
1doc3,Health and Wellness|Health Care|Internet|SMS,37639.0,operating,COL,1,201.0
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,1700000.0,acquired,USA,2,190.0
1Life Healthcare,Health and Wellness|Health Care|Services,30000000.0,operating,USA,1,4097.0
2-Observe,Design|Health and Wellness|Health Care|Hospitals|Medical Devices,204189.0,operating,BEL,1,1636.0
20/20 Gene Systems Inc.,Biotechnology|Health Diagnostics,4345427.0,operating,USA,3,4530.0
22nd Century Group,Biotechnology,15034750.0,ipo,USA,6,4744.0
23andMe,Biotechnology|Search,227049900.0,operating,USA,8,-150.0
3-V Biosciences,Biotechnology,128477567.0,operating,USA,7,82.0
360Guanxi,Biotechnology|Life Sciences|Media|News|Pharmaceuticals,5000000.0,operating,CHN,1,3439.0
360imaging,Biotechnology|Dental,1000000.0,operating,USA,2,2495.0
3CI,Biotechnology,133620.0,operating,ITA,1,1096.0
3D Biomatrix,Biotechnology,1465000.0,operating,USA,2,-88.0
"3D Operations, Inc.",3D Printing|Health and Wellness|Health Care,7500.0,operating,USA,1,-34.0
3D4Medical.com,Health Care,16399999.0,operating,IRL,1,4205.0
3Derm Systems,3D|Medical|Physicians,1880000.0,operating,USA,4,457.0
3DR Laboratories,Biotechnology,7436500.0,operating,USA,2,
3P Biopharmaceuticals,Biotechnology|Pharmaceuticals,4783500.0,operating,ESP,2,
3Scan,Biotechnology,7063012.0,operating,USA,4,242.0
4 Animals AlsterScience GmbH,Animal Feed|Medical|Specialty Foods,0.0,operating,DEU,1,
480 Biomedical,Biotechnology,49656999.0,operating,USA,5,409.0
4D Molecular Therapeutics,Biotechnology,6999995.0,operating,USA,1,954.0
4Deep,Biotechnology,500000.0,operating,CAN,1,2880.0
4Tech,Biotechnology,7000000.0,operating,USA,1,354.0
5i Sciences,Healthcare Services|Life Sciences|Medical,5955000.0,operating,USA,2,
7 Cups of Tea,Health and Wellness|Health Care|Health Services Industry,0.0,operating,USA,2,59.0
7 Oaks Pharmaceutical,Biotechnology,1613014.0,operating,USA,1,5269.0
7TM Pharma,Biotechnology|Diabetes|Therapeutics,22000000.0,operating,,1,
A.D.A.M INC,Health and Wellness|Health Care|Healthcare Services|Medical|Technology,6000000.0,operating,,1,3682.0
A&G Pharmaceutical,Biotechnology,2100002.0,operating,USA,2,
A-Life Medical,Biotechnology,3000000.0,acquired,USA,1,
A Little Easier Recovery,Charity|Financial Services|Medical,50000.0,operating,USA,1,
A.P.Pharma,Biotechnology,32142818.0,operating,USA,2,
AAIPharma Services,Biotechnology,20000000.0,operating,USA,1,12063.0
Aastrom Biosciences,Biotechnology,40000000.0,ipo,USA,1,8468.0
AAVLife,Health Care Information Technology|Medical|Therapeutics,12000000.0,operating,FRA,1,
Aavya Health,Health and Insurance|Health and Wellness|Health Care Information Technology|Retail,0.0,operating,USA,1,
Abattis Bioceuticals,Biotechnology,400988.0,ipo,CAN,3,4783.0
Abbott Labs,Biotechnology|Health and Wellness|Medical|Venture Capital,6790000.0,ipo,USA,2,6649.0
Abcam,Biotechnology|Events,78799653.0,operating,GBR,2,4906.0
AbCelex Technologies,Biotechnology,2000000.0,operating,CAN,1,1578.0
Abcodia,Biotechnology,10207905.0,operating,GBR,4,509.0
abeo,Health Care,2012700.0,operating,USA,1,
Abeona Therapeutics,Biotechnology,12850000.0,operating,USA,3,349.0
ABFIT Products,Medical,0.0,operating,USA,1,5.0
AbGenomics,Biotechnology,39610000.0,operating,USA,3,4401.0
Abide Therapeutics,Biotechnology,2250180.0,operating,USA,1,321.0
Ability Dynamics,Health Care,1500000.0,operating,USA,1,1145.0
ABILITY Network,Health Care,583000000.0,operating,USA,4,2539.0
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,21000000.0,operating,USA,3,1960.0
Abingdon Health,Health Care|Health Diagnostics,12853396.0,operating,GBR,3,1546.0
aBioBot,Biotechnology|Robotics|Technology,50000.0,operating,USA,1,33.0
Abiogenix,Fitness|Health and Wellness|Health Care|Medical Devices|Medication Adherence,0.0,operating,USA,1,227.0
Abionic,Biotechnology|Medical|Nanotechnology,3986362.0,operating,CHE,1,1747.0
ABK Biomedical,Fitness|Health and Wellness|Medical,0.0,operating,CAN,1,
Ablation Frontiers,Innovation Engineering|Medical|Medical Devices,21800000.0,acquired,USA,1,
Ablative Solutions,Biotechnology,42980577.0,operating,USA,7,368.0
Ablexis,Biotechnology,12000000.0,operating,USA,1,519.0
Ablynx,Biotechnology,186036236.0,ipo,BEL,6,632.0
Abreos Biosciences,Biotechnology|Clinical Trials|Medication Adherence,175000.0,operating,,1,
ABS,Health Care,132500.0,operating,USA,1,1357.0
ABS Medical,Medical,0.0,operating,USA,1,244.0
Absorption Pharmaceuticals,Biotechnology,1200000.0,operating,USA,1,
Absynth Biologics,Biotechnology,1663801.11900538,operating,GBR,2,2390.0
ABT Molecular Imaging,Health Care,28364818.0,operating,USA,10,1374.0
Abzena,Biotechnology,64640151.5803158,ipo,GBR,2,4570.0
AC Immune SA,Biotechnology,39279460.0,operating,CHE,2,862.0
Acacia Pharma,Biotechnology,33500000.0,operating,GBR,2,1915.0
ACADIA Pharmaceuticals,Biotechnology|Health Care,126385000.0,ipo,USA,3,
Acarix,Health Care,4710960.0,operating,DNK,1,1534.0
Accel Diagnostics,Diagnostics|Health Care|Health Diagnostics|Medical Devices,25000.0,operating,USA,3,40.0
Accelalox,Biotechnology,430000.0,operating,USA,1,1743.0
AcceleCare Wound Centers,Health Care|Hospitals|Medical,13500000.0,acquired,USA,2,
Accelerate Diagnostics,Health Care|Health Diagnostics|Medical Devices,63016244.0,ipo,USA,4,2273.0
Acceleron Pharma,Biotechnology,113701127.0,ipo,USA,6,944.0
Accentia Biopharmaceuticals Inc,Biotechnology|Health and Wellness,775000.0,ipo,USA,2,3690.0
Accera,Biotechnology,138581610.0,operating,USA,5,1354.0
Access Closure,Health Care,13793098.0,acquired,USA,3,2983.0
Access Integrated Healthcare,Health and Wellness|Health Care|Services,58500000.0,operating,USA,2,205.0
Access MediQuip,Health Care,46900000.0,operating,USA,1,5856.0
Access Psychiatry Solutions,Biotechnology,250000.0,operating,USA,1,139.0
Access Scientific,Health Care,21376001.0,acquired,USA,6,2105.0
Accessbio,Biotechnology,12000000.0,operating,USA,1,
Acclarent,Biotechnology|Medical,35000000.0,acquired,USA,1,1056.0
Acclaris Holdings,Development Platforms|Health Care|Software,5000000.0,acquired,USA,1,-1990.0
Accolade,Health and Wellness|Health Care|Healthcare Services,96244444.0,operating,USA,6,31.0
Accord Biomaterials,Biotechnology,1200000.0,operating,USA,1,1024.0
Accountable,B2B|Cloud Computing|Enterprises|Health and Wellness|Health Care|Network Security|SaaS,158000.0,operating,USA,2,153.0
Accriva Diagnostics,Medical Devices,15470704.0,operating,USA,2,304.0
Accu-Break Pharmaceuticals,Biotechnology,6650000.0,operating,USA,2,2342.0
Accudial Pharmaceutical,Biotechnology,12024769.0,operating,USA,3,146.0
AccuMED Technologies,Medical,0.0,operating,USA,1,7601.0
Accumen,Health Care|Hospitals,6700000.0,operating,USA,1,0.0
Accumetrics,Biotechnology,110640466.0,acquired,USA,9,2692.0
AccuNostics,Health Care|Health Diagnostics,6321095.0,operating,GBR,1,1353.0
Accupal,Medical,0.0,operating,USA,1,275.0
